Time start,Time end,Level start,Level End,duration
12082021_212059,12082021_212110,0,0,11.405711
12082021_221629,12082021_222321,0,6,411.783788
12082021_222322,12082021_223202,0,5,519.791305
12082021_223202,12082021_223721,0,3,318.683999
12082021_223721,12082021_233520,0,9,3479.153591
12082021_233520,13082021_002552,0,4,3032.01524
12082021_233520,13082021_013348,0,4,7108.226852
13082021_013348,13082021_013547,0,1,118.982198
14082021_224518,14082021_225150,0,5,392.257108
14082021_225150,14082021_230048,0,6,538.157606
14082021_230048,14082021_231536,0,9,887.497347
14082021_231536,14082021_232008,0,1,272.412191
15082021_000543,15082021_000722,0,0,98.899058
15082021_001449,15082021_001724,0,1,155.470743
16082021_161259,16082021_161324,0,0,25.038679
16082021_202104,16082021_202316,0,0,131.698724
16082021_202451,16082021_202543,0,0,52.394653
16082021_202612,16082021_202622,0,0,10.387319
16082021_202631,16082021_202638,0,0,6.630342
25082021_041329,25082021_041523,0,1,113.911523
25082021_041329,25082021_062110,0,1,7661.149272
25082021_074315,25082021_074320,0,0,4.515594
25082021_074515,25082021_074521,0,0,5.737805
25082021_074532,25082021_074554,0,0,22.317146
25082021_085103,25082021_090706,0,2,962.84958
25082021_090722,25082021_114819,0,3,9656.521529
25082021_124904,25082021_124917,0,0,12.78979
25082021_125731,25082021_125759,0,0,27.852578
25082021_130237,25082021_144850,0,0,6372.925671
25082021_162808,25082021_165438,0,2,1590.571756
25082021_165445,25082021_165451,0,0,5.949367
25082021_165542,25082021_165603,0,8,20.965329
25082021_165630,25082021_165640,0,2,10.372543
25082021_165825,25082021_165840,0,0,14.715164
25082021_171720,25082021_171741,0,3,20.708657
25082021_172529,25082021_172540,0,0,11.186652
25082021_172708,25082021_172718,0,0,10.301293
25082021_173604,25082021_173623,0,3,19.585838
25082021_190349,25082021_190440,0,0,51.768427
26082021_130813,26082021_131047,0,1,153.646376
26082021_131047,26082021_131239,0,1,112.298953
26082021_131047,26082021_131245,0,0,118.147672
27082021_204746,27082021_204803,0,0,17.133602
31082021_074150,31082021_074223,0,0,32.921941
07092021_032028,07092021_032104,0,0,36.442146
07092021_032105,07092021_032107,0,0,2.140663
